scheme_id,canonical_name,amc,category,default_plan,default_option,groww_url,coverage_status
hdfc_mid_cap,HDFC Mid Cap Fund - Direct Growth,HDFC Mutual Fund,Equity - Diversified,Direct,Growth,https://groww.in/mutual-funds/hdfc-mid-cap-fund-direct-growth,ACTIVE
hdfc_flexi_cap,HDFC Flexi Cap Fund - Direct Growth,HDFC Mutual Fund,Equity - Diversified,Direct,Growth,https://groww.in/mutual-funds/hdfc-equity-fund-direct-growth,ACTIVE
hdfc_small_cap,HDFC Small Cap Fund - Direct Growth,HDFC Mutual Fund,Equity - Diversified,Direct,Growth,https://groww.in/mutual-funds/hdfc-small-cap-fund-direct-growth,ACTIVE
hdfc_large_and_mid_cap,HDFC Large and Mid Cap Fund - Direct Growth,HDFC Mutual Fund,Equity - Diversified,Direct,Growth,https://groww.in/mutual-funds/hdfc-large-and-mid-cap-fund-direct-growth,ACTIVE
hdfc_large_cap,HDFC Large Cap Fund - Direct Growth,HDFC Mutual Fund,Equity - Diversified,Direct,Growth,https://groww.in/mutual-funds/hdfc-large-cap-fund-direct-growth,ACTIVE
hdfc_multi_cap,HDFC Multi Cap Fund - Direct Growth,HDFC Mutual Fund,Equity - Diversified,Direct,Growth,https://groww.in/nfo/hdfc-multi-cap-fund-direct-growth,ACTIVE
hdfc_focused,HDFC Focused Fund - Direct Growth,HDFC Mutual Fund,Equity - Diversified,Direct,Growth,https://groww.in/mutual-funds/hdfc-focused-fund-direct-growth,ACTIVE
hdfc_value,HDFC Value Fund - Direct Growth,HDFC Mutual Fund,Equity - Diversified,Direct,Growth,https://groww.in/mutual-funds/hdfc-value-fund-direct-growth,ACTIVE
hdfc_elss_tax_saver,HDFC ELSS Tax Saver Fund - Direct Growth,HDFC Mutual Fund,Equity - Diversified,Direct,Growth,https://groww.in/mutual-funds/hdfc-elss-tax-saver-fund-direct-plan-growth,ACTIVE
hdfc_mnc,HDFC MNC Fund - Direct Growth,HDFC Mutual Fund,Equity - Diversified,Direct,Growth,https://groww.in/mutual-funds/hdfc-mnc-fund-direct-growth,ACTIVE
hdfc_business_cycle,HDFC Business Cycle Fund - Direct Growth,HDFC Mutual Fund,Thematic / Sectoral Equity,Direct,Growth,https://groww.in/nfo/hdfc-business-cycle-fund-direct-growth,ACTIVE
hdfc_defence,HDFC Defence Fund - Direct Growth,HDFC Mutual Fund,Thematic / Sectoral Equity,Direct,Growth,https://groww.in/nfo/hdfc-defence-fund-direct-growth,ACTIVE
